Component,d33 (pC/N),Tc (°C)
0.95(K0.40Na0.60)NbO3–0.05LiSbO3,280.0,474
0.95(K0.45Na0.55)NbO3–0.04Bi0.5Na0.5ZrO3–0.01BaHfO3–0.002MnO2,385.0,243
0.96(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3-0.04BaZrO3,425.0,241
0.96(K0.5Na0.5)0.95Li0.05Nb0.96Sb0.04O3-0.04BaZrO3,223.0,245
0.96(K0.5Na0.5)0.95Li0.05Nb0.95Sb0.05O3-0.04BaZrO3,320.0,266
0.96(K0.5Na0.5)0.95Li0.05Nb0.94Sb0.06O3-0.04BaZrO3,370.0,308
0.96(K0.5Na0.5)0.95Li0.05Nb0.92Sb0.08O3-0.04BaZrO3,320.0,257
0.96(K0.5Na0.5)0.95Li0.05Nb0.91Sb0.09O3-0.04BaZrO3,159.0,370
0.94(K0.34Na0.6Ba0.06Nb0.94Zr0.06)O3-0.06LiSbO3,344.0,279
0.958K0.5Na0.5Nb0.975Sb0.025O3–0.035Bi0.5Na0.5ZrO3–0.007BiFeO3,511.0,213
0.97K0.5Na0.5Nb0.96Sb0.04O3-0.01SrZrO3-0.03Bi0.5Na0.5HfO3,470.0,226
0.96(K0.48Na0.52)0.95Li0.05Nb0.93Sb0.07O3-0.04BaZrO3 ,408.0,247
0.96(K0.48Na0.52)0.95Li0.05Nb0.94Sb0.06O3-0.04Ba0.94Ca0.06ZrO3 ,347.0,299
0.92(K0.445Na0.50Li0.055)NbO3–0.08BaZrO3 ,317.0,230
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.04(Bi0.5Na0.42Li0.08)0.9Sr0.1ZrO3,416.0,244
0.964K0.4Na0.6Nb0.955Sb0.045O3–0.006BiFeO3–0.03Bi0.5Na0.5ZrO3 ,550.0,200
 0.992(K0.46Na0.54)0.965Li0.035Nb0.975Sb0.025O3-0.008BiScO3,325.0,267
0.98(Na0.5K0.5)NbO3-0.02BiScO3,210.0,246
0.992(0.95K0.5Na0.5NbO3-0.05LiSbO3)-0.008BiScO3,305.0,271
0.985(K0.48Na0.52)(Nb0.98Sb0.02)O3-0.015BiScO3–MnCO3,265.0,288
